Times,MAIN_PNL_PX.1,MAIN_PNL_MX.1,MAIN_PNL_PY.1,MAIN_PNL_MY.1,MAIN_PNL_PZ.1,MAIN_PNL_MZ.1,MAIN_PNL_MY.20001
21160.,-2.115829,-2.200072,31.84145,-0.9105315,-2.215107,-36.3597,-52.87922
21170.,-2.118383,-2.202628,31.83972,-0.9131133,-2.217668,-36.36191,-52.88131
21180.,-2.120935,-2.205182,31.83799,-0.9156925,-2.220226,-36.36411,-52.88339
21190.,-2.123484,-2.207733,31.83626,-0.918269,-2.222782,-36.36631,-52.88548
21200.,-2.126031,-2.210282,31.83454,-0.9208428,-2.225335,-36.36851,-52.88756
21210.,-2.128575,-2.212827,31.83281,-0.923414,-2.227886,-36.37071,-52.88964
21220.,-2.131116,-2.21537,31.83109,-0.9259826,-2.230434,-36.3729,-52.89172
21230.,-2.133655,-2.217911,31.82937,-0.9285485,-2.232979,-36.37509,-52.8938
21240.,-2.136191,-2.220449,31.82765,-0.9311117,-2.235521,-36.37728,-52.89587
21250.,-2.138724,-2.222984,31.82594,-0.9336724,-2.238061,-36.37947,-52.89794
21260.,-2.141255,-2.225517,31.82422,-0.9362304,-2.240599,-36.38165,-52.90001
21270.,-2.143783,-2.228047,31.82251,-0.9387857,-2.243134,-36.38383,-52.90208
21280.,-2.146309,-2.230575,31.8208,-0.9413385,-2.245666,-36.38601,-52.90414
21290.,-2.148832,-2.233099,31.81909,-0.9438886,-2.248195,-36.38819,-52.90621
21300.,-2.151353,-2.235622,31.81738,-0.9464361,-2.250722,-36.39037,-52.90827
21310.,-2.153871,-2.238141,31.81567,-0.9489809,-2.253246,-36.39254,-52.91033
21320.,-2.156386,-2.240659,31.81397,-0.9515232,-2.255768,-36.39471,-52.91238
21330.,-2.158899,-2.243173,31.81227,-0.9540628,-2.258287,-36.39688,-52.91444
21340.,-2.161409,-2.245685,31.81057,-0.9565998,-2.260804,-36.39905,-52.91649
21350.,-2.163916,-2.248194,31.80887,-0.9591342,-2.263318,-36.40121,-52.91854
21360.,-2.166421,-2.250701,31.80717,-0.961666,-2.265829,-36.40337,-52.92059
21370.,-2.168924,-2.253205,31.80547,-0.9641952,-2.268338,-36.40553,-52.92264
21380.,-2.171423,-2.255707,31.80378,-0.9667218,-2.270844,-36.40769,-52.92468
