Times,MAIN_PNL_PX.1,MAIN_PNL_MX.1,MAIN_PNL_PY.1,MAIN_PNL_MY.1,MAIN_PNL_PZ.1,MAIN_PNL_MZ.1,MAIN_PNL_MY.20001
32500.,31.39924,-3.64895,-3.39069,-2.069585,-3.469753,-37.46232,-53.81674
32510.,31.39872,-3.64973,-3.391467,-2.07037,-3.470532,-37.46299,-53.81738
32520.,31.3982,-3.650509,-3.392243,-2.071154,-3.47131,-37.46366,-53.81801
32530.,31.39768,-3.651287,-3.393018,-2.071936,-3.472088,-37.46433,-53.81865
32540.,31.39716,-3.652065,-3.393793,-2.072719,-3.472865,-37.465,-53.81928
32550.,31.39664,-3.652841,-3.394566,-2.0735,-3.473641,-37.46566,-53.81991
32560.,31.39612,-3.653617,-3.395339,-2.07428,-3.474416,-37.46633,-53.82054
32570.,31.3956,-3.654392,-3.396111,-2.07506,-3.47519,-37.467,-53.82117
32580.,31.39508,-3.655166,-3.396882,-2.075839,-3.475964,-37.46766,-53.82181
32590.,31.39457,-3.65594,-3.397653,-2.076617,-3.476737,-37.46833,-53.82244
32600.,31.39405,-3.656712,-3.398423,-2.077394,-3.477509,-37.46899,-53.82306
32610.,31.39354,-3.657484,-3.399191,-2.078171,-3.47828,-37.46966,-53.82369
32620.,31.39302,-3.658255,-3.39996,-2.078946,-3.479051,-37.47032,-53.82432
32630.,31.39251,-3.659026,-3.400727,-2.079721,-3.47982,-37.47098,-53.82495
32640.,31.39199,-3.659795,-3.401493,-2.080496,-3.480589,-37.47165,-53.82557
32650.,31.39148,-3.660564,-3.402259,-2.081269,-3.481357,-37.47231,-53.8262
32660.,31.39096,-3.661332,-3.403024,-2.082041,-3.482125,-37.47297,-53.82683
32670.,31.39045,-3.662099,-3.403788,-2.082813,-3.482891,-37.47363,-53.82745
32680.,31.38994,-3.662865,-3.404552,-2.083584,-3.483657,-37.47429,-53.82807
32690.,31.38943,-3.663631,-3.405315,-2.084354,-3.484422,-37.47495,-53.8287
32700.,31.38892,-3.664396,-3.406076,-2.085124,-3.485186,-37.47561,-53.82932
32710.,31.38841,-3.66516,-3.406838,-2.085893,-3.48595,-37.47626,-53.82994
32720.,31.3879,-3.665923,-3.407598,-2.08666,-3.486713,-37.47692,-53.83056
32730.,31.38739,-3.666686,-3.408357,-2.087427,-3.487474,-37.47758,-53.83119
32740.,31.38688,-3.667447,-3.409116,-2.088194,-3.488236,-37.47823,-53.83181
32750.,31.38637,-3.668208,-3.409874,-2.088959,-3.488996,-37.47889,-53.83243
32760.,31.38586,-3.668968,-3.410632,-2.089724,-3.489756,-37.47954,-53.83304
32770.,31.38535,-3.669728,-3.411388,-2.090488,-3.490514,-37.48019,-53.83366
32780.,31.38485,-3.670486,-3.412144,-2.091251,-3.491272,-37.48085,-53.83428
32790.,31.38434,-3.671244,-3.412899,-2.092014,-3.49203,-37.4815,-53.8349
32800.,31.38384,-3.672001,-3.413653,-2.092775,-3.492786,-37.48215,-53.83551
32810.,31.38333,-3.672758,-3.414406,-2.093536,-3.493542,-37.4828,-53.83613
32820.,31.38283,-3.673513,-3.415159,-2.094296,-3.494297,-37.48345,-53.83675
32830.,31.38232,-3.674268,-3.415911,-2.095056,-3.495051,-37.4841,-53.83736
32840.,31.38182,-3.675022,-3.416662,-2.095814,-3.495805,-37.48475,-53.83797
32850.,31.38131,-3.675775,-3.417412,-2.096572,-3.496557,-37.4854,-53.83859
32860.,31.38081,-3.676528,-3.418162,-2.097329,-3.497309,-37.48604,-53.8392
32870.,31.38031,-3.677279,-3.418911,-2.098085,-3.49806,-37.48669,-53.83981
32880.,31.37981,-3.67803,-3.419659,-2.098841,-3.498811,-37.48734,-53.84042
32890.,31.37931,-3.678781,-3.420406,-2.099595,-3.49956,-37.48798,-53.84104
32900.,31.37881,-3.67953,-3.421152,-2.100349,-3.500309,-37.48863,-53.84165
