Times,MAIN_PNL_PX.1,MAIN_PNL_MX.1,MAIN_PNL_PY.1,MAIN_PNL_MY.1,MAIN_PNL_PZ.1,MAIN_PNL_MZ.1,MAIN_PNL_MY.20001
32450.,-1.042905,-0.7751624,-0.9101052,0.4098767,25.49866,-27.16495,-50.85026
32460.,-1.049451,-0.7855512,-0.9110804,0.4018492,25.2056,-27.25651,-50.79951
32470.,-1.056668,-0.7965612,-0.9128684,0.393154,24.91558,-27.34807,-50.74933
32480.,-1.064547,-0.808183,-0.9154577,0.3838014,24.62855,-27.43963,-50.69971
32490.,-1.073076,-0.8204072,-0.9188371,0.3738017,24.34448,-27.53117,-50.65063
32500.,-1.082247,-0.8332249,-0.9229954,0.3631647,24.06331,-27.6227,-50.60209
32510.,-1.09205,-0.846627,-0.9279216,0.3519002,23.78501,-27.71423,-50.55409
32520.,-1.102475,-0.8606048,-0.933605,0.3400178,23.50953,-27.80573,-50.5066
32530.,-1.113514,-0.8751496,-0.940035,0.3275268,23.23684,-27.89723,-50.45963
32540.,-1.125157,-0.890253,-0.9472013,0.3144366,22.96688,-27.9887,-50.41315
32550.,-1.137395,-0.9059067,-0.9550934,0.3007562,22.69963,-28.08016,-50.36718
32560.,-1.150219,-0.9221025,-0.9637015,0.2864946,22.43504,-28.17159,-50.32169
32570.,-1.163622,-0.9388323,-0.9730154,0.2716605,22.17307,-28.263,-50.27668
32580.,-1.177594,-0.9560883,-0.9830256,0.2562625,21.91369,-28.35439,-50.23214
32590.,-1.192127,-0.9738626,-0.9937223,0.2403092,21.65686,-28.44576,-50.18807
32600.,-1.207213,-0.9921477,-1.005096,0.2238089,21.40255,-28.53709,-50.14445
32610.,-1.222844,-1.010936,-1.017138,0.2067697,21.15071,-28.6284,-50.10128
32620.,-1.239012,-1.03022,-1.029838,0.1891997,20.90132,-28.71969,-50.05855
32630.,-1.255709,-1.049993,-1.043188,0.1711068,20.65433,-28.81094,-50.01625
32640.,-1.272927,-1.070248,-1.057179,0.1524989,20.40972,-28.90216,-49.97438
32650.,-1.29066,-1.090976,-1.071802,0.1333835,20.16744,-28.99335,-49.93293
32660.,-1.308899,-1.112173,-1.087048,0.1137681,19.92748,-29.0845,-49.89189
32670.,-1.327637,-1.13383,-1.102909,0.0936602,19.6898,-29.17563,-49.85126
32680.,-1.346868,-1.155941,-1.119377,0.07306704,19.45435,-29.26672,-49.81103
32690.,-1.366584,-1.1785,-1.136443,0.05199577,19.22113,-29.35777,-49.77119
32700.,-1.386778,-1.201501,-1.1541,0.03045342,18.99008,-29.44879,-49.73174
32710.,-1.407443,-1.224935,-1.172339,0.0084469,18.76119,-29.53978,-49.69267
32720.,-1.428573,-1.248799,-1.191153,-0.01401697,18.53443,-29.63072,-49.65397
32730.,-1.45016,-1.273085,-1.210534,-0.03693152,18.30975,-29.72163,-49.61564
32740.,-1.4722,-1.297787,-1.230474,-0.06029014,18.08715,-29.8125,-49.57768
32750.,-1.494684,-1.3229,-1.250965,-0.08408636,17.86658,-29.90334,-49.54006
32760.,-1.517607,-1.348417,-1.272002,-0.1083138,17.64802,-29.99413,-49.5028
32770.,-1.540963,-1.374333,-1.293575,-0.1329662,17.43145,-30.08489,-49.46589
32780.,-1.564746,-1.400643,-1.315678,-0.1580375,17.21683,-30.1756,-49.42931
32790.,-1.588949,-1.427339,-1.338304,-0.1835205,17.00414,-30.26624,-49.38183
32800.,-1.613567,-1.454418,-1.361443,-0.2094012,16.7933,-30.35646,-49.24337
32810.,-1.638593,-1.481873,-1.385087,-0.2356664,16.58429,-30.44628,-49.10545
32820.,-1.664022,-1.509698,-1.409229,-0.26231,16.37709,-30.53569,-48.96808
32830.,-1.689847,-1.537888,-1.433864,-0.2893261,16.17167,-30.6247,-48.83125
32840.,-1.716063,-1.566438,-1.458982,-0.3167091,15.968,-30.71331,-48.69493
32850.,-1.742663,-1.595341,-1.484579,-0.3444532,15.76608,-30.80153,-48.55914
32860.,-1.769643,-1.624593,-1.510647,-0.3725528,15.56586,-30.88936,-48.42386
32870.,-1.796997,-1.654189,-1.53718,-0.4010024,15.36734,-30.97681,-48.28909
32880.,-1.824718,-1.684123,-1.564172,-0.4297966,15.17048,-31.06387,-48.15481
32890.,-1.852802,-1.71439,-1.591615,-0.4589301,14.97527,-31.15055,-48.02102
32900.,-1.881243,-1.744986,-1.619504,-0.4883976,14.78169,-31.23685,-47.88772
32910.,-1.910036,-1.775905,-1.647833,-0.5181939,14.58971,-31.32279,-47.7549
32920.,-1.939176,-1.807142,-1.676595,-0.5483139,14.39932,-31.40835,-47.62255
32930.,-1.968657,-1.838694,-1.705785,-0.5787527,14.21049,-31.49355,-47.49066
32940.,-1.998475,-1.870554,-1.735397,-0.6095053,14.02321,-31.57838,-47.35924
32950.,-2.028625,-1.902719,-1.765424,-0.6405668,13.83745,-31.66286,-47.22826
32960.,-2.059101,-1.935184,-1.795861,-0.6719324,13.65319,-31.74698,-47.09774
32970.,-2.0899,-1.967944,-1.826703,-0.7035975,13.47043,-31.83075,-46.96766
32980.,-2.121015,-2.000996,-1.857944,-0.7355574,13.28913,-31.91417,-46.83801
32990.,-2.152443,-2.034334,-1.889578,-0.7678075,13.10928,-31.99724,-46.7088
33000.,-2.184179,-2.067955,-1.9216,-0.8003433,12.93086,-32.07997,-46.58001
33010.,-2.216218,-2.101853,-1.954005,-0.8331605,12.75385,-32.16236,-46.45164
