Times,MAIN_PNL_PX.1,MAIN_PNL_MX.1,MAIN_PNL_PY.1,MAIN_PNL_MY.1,MAIN_PNL_PZ.1,MAIN_PNL_MZ.1,MAIN_PNL_MY.20001
8080.,4.961976,4.808023,4.933298,6.735468,37.10835,-30.20097,-46.69279
8090.,4.951814,4.797845,4.92314,6.725272,37.10124,-30.20977,-46.70104
8100.,4.941664,4.787678,4.912994,6.715087,37.09414,-30.21855,-46.70928
8110.,4.931525,4.777523,4.902859,6.704913,37.08705,-30.22732,-46.71751
8120.,4.921398,4.767379,4.892735,6.694751,37.07996,-30.23608,-46.72573
8130.,4.911281,4.757245,4.882623,6.6846,37.07288,-30.24483,-46.73395
8140.,4.901176,4.747124,4.872521,6.67446,37.06581,-30.25357,-46.74215
8150.,4.891082,4.737013,4.862431,6.664331,37.05875,-30.2623,-46.75035
8160.,4.880999,4.726913,4.852352,6.654213,37.0517,-30.27102,-46.75853
8170.,4.870927,4.716825,4.842284,6.644107,37.04465,-30.27973,-46.76671
8180.,4.860866,4.706748,4.832227,6.634011,37.03762,-30.28844,-46.77488
8190.,4.850816,4.696681,4.822181,6.623927,37.03059,-30.29713,-46.78304
8200.,4.840778,4.686626,4.812146,6.613854,37.02357,-30.30581,-46.79119
8210.,4.83075,4.676582,4.802123,6.603792,37.01655,-30.31448,-46.79933
8220.,4.820734,4.66655,4.79211,6.593741,37.00955,-30.32315,-46.80746
8230.,4.810728,4.656528,4.782109,6.583701,37.00255,-30.3318,-46.81558
8240.,4.800734,4.646517,4.772118,6.573672,36.99556,-30.34044,-46.8237
8250.,4.79075,4.636517,4.762139,6.563654,36.98858,-30.34908,-46.8318
8260.,4.780778,4.626529,4.75217,6.553647,36.98161,-30.3577,-46.8399
8270.,4.770817,4.616551,4.742213,6.543651,36.97464,-30.36632,-46.84799
8280.,4.760866,4.606585,4.732266,6.533666,36.96768,-30.37492,-46.85607
8290.,4.750927,4.596629,4.722331,6.523693,36.96074,-30.38352,-46.86414
8300.,4.740999,4.586684,4.712406,6.51373,36.95379,-30.3921,-46.8722
8310.,4.731081,4.576751,4.702493,6.503778,36.94686,-30.40068,-46.88025
8320.,4.721175,4.566828,4.69259,6.493837,36.93994,-30.40924,-46.88829
8330.,4.711279,4.556916,4.682698,6.483907,36.93302,-30.4178,-46.89633
8340.,4.701394,4.547015,4.672818,6.473988,36.92611,-30.42635,-46.90435
8350.,4.691521,4.537125,4.662948,6.46408,36.91921,-30.43489,-46.91237
8360.,4.681658,4.527246,4.653089,6.454182,36.91231,-30.44341,-46.92038
8370.,4.671806,4.517378,4.64324,6.444296,36.90543,-30.45193,-46.92838
8380.,4.661965,4.507521,4.633403,6.43442,36.89855,-30.46044,-46.93637
8390.,4.652134,4.497675,4.623577,6.424556,36.89168,-30.46894,-46.94435
8400.,4.642315,4.487839,4.613761,6.414702,36.88482,-30.47743,-46.95232
8410.,4.632506,4.478014,4.603956,6.404859,36.87796,-30.48591,-46.96029
8420.,4.622708,4.468201,4.594162,6.395027,36.87112,-30.49438,-46.96824
8430.,4.612921,4.458398,4.584379,6.385205,36.86428,-30.50285,-46.97619
8440.,4.603145,4.448605,4.574606,6.375395,36.85745,-30.5113,-46.98413
8450.,4.593379,4.438824,4.564845,6.365595,36.85063,-30.51974,-46.99205
8460.,4.583624,4.429053,4.555094,6.355806,36.84381,-30.52817,-46.99997
8470.,4.57388,4.419293,4.545353,6.346028,36.837,-30.5366,-47.00789
8480.,4.564147,4.409544,4.535624,6.33626,36.8302,-30.54501,-47.01579
8490.,4.554424,4.399806,4.525905,6.326504,36.82341,-30.55342,-47.02368
8500.,4.544712,4.390078,4.516197,6.316758,36.81663,-30.56182,-47.03157
8510.,4.535011,4.380361,4.5065,6.307022,36.80985,-30.5702,-47.03945
8520.,4.525321,4.370654,4.496813,6.297298,36.80308,-30.57858,-47.04731
8530.,4.515641,4.360959,4.487137,6.287584,36.79632,-30.58695,-47.05517
8540.,4.505972,4.351274,4.477471,6.27788,36.78957,-30.59531,-47.06303
8550.,4.496313,4.341599,4.467817,6.268188,36.78282,-30.60366,-47.07087
8560.,4.486665,4.331936,4.458172,6.258506,36.77609,-30.612,-47.0787
8570.,4.477028,4.322283,4.448539,6.248834,36.76936,-30.62033,-47.08653
8580.,4.467401,4.31264,4.438916,6.239174,36.76263,-30.62865,-47.09434
8590.,4.457785,4.303008,4.429304,6.229523,36.75592,-30.63696,-47.10215
8600.,4.448179,4.293387,4.419702,6.219884,36.74921,-30.64526,-47.10995
8610.,4.438584,4.283777,4.410111,6.210255,36.74251,-30.65356,-47.11774
8620.,4.429,4.274176,4.40053,6.200637,36.73582,-30.66184,-47.12552
8630.,4.419426,4.264587,4.39096,6.191029,36.72914,-30.67012,-47.1333
8640.,4.409862,4.255008,4.3814,6.181432,36.72246,-30.67838,-47.14106
8650.,4.400309,4.24544,4.371851,6.171845,36.71579,-30.68664,-47.14882
8660.,4.390767,4.235882,4.362312,6.162269,36.70913,-30.69489,-47.15657
8670.,4.381235,4.226334,4.352784,6.152703,36.70248,-30.70313,-47.16431
8680.,4.371714,4.216797,4.343267,6.143148,36.69583,-30.71136,-47.17204
8690.,4.362203,4.207271,4.333759,6.133603,36.68919,-30.71958,-47.17976
8700.,4.352702,4.197755,4.324263,6.124069,36.68256,-30.72779,-47.18748
8710.,4.343212,4.188249,4.314776,6.114545,36.67594,-30.73599,-47.19518
8720.,4.333732,4.178754,4.3053,6.105032,36.66932,-30.74418,-47.20288
8730.,4.324263,4.16927,4.295835,6.095529,36.66272,-30.75237,-47.21057
8740.,4.314804,4.159795,4.28638,6.086036,36.65612,-30.76054,-47.21825
8750.,4.305356,4.150331,4.276935,6.076554,36.64952,-30.76871,-47.22592
8760.,4.295918,4.140878,4.267501,6.067082,36.64294,-30.77686,-47.23358
8770.,4.28649,4.131435,4.258077,6.057621,36.63636,-30.78501,-47.24124
8780.,4.277072,4.122002,4.248663,6.04817,36.62979,-30.79315,-47.24889
8790.,4.267665,4.11258,4.23926,6.03873,36.62323,-30.80128,-47.25652
8800.,4.258269,4.103168,4.229867,6.029299,36.61667,-30.8094,-47.26415
8810.,4.248882,4.093766,4.220484,6.019879,36.61012,-30.81751,-47.27178
8820.,4.239506,4.084375,4.211112,6.01047,36.60358,-30.82561,-47.27939
8830.,4.23014,4.074994,4.20175,6.001071,36.59705,-30.83371,-47.28699
8840.,4.220785,4.065623,4.192398,5.991682,36.59052,-30.84179,-47.29459
8850.,4.21144,4.056263,4.183056,5.982303,36.584,-30.84987,-47.30218
8860.,4.202105,4.046912,4.173725,5.972935,36.57749,-30.85794,-47.30976
8870.,4.19278,4.037573,4.164404,5.963577,36.57099,-30.86599,-47.31733
8880.,4.183465,4.028243,4.155093,5.954229,36.56449,-30.87404,-47.32489
8890.,4.174161,4.018923,4.145793,5.944891,36.55801,-30.88208,-47.33245
8900.,4.164867,4.009614,4.136502,5.935564,36.55153,-30.89011,-47.34
8910.,4.155583,4.000315,4.127222,5.926247,36.54505,-30.89814,-47.34753
8920.,4.146309,3.991026,4.117952,5.91694,36.53859,-30.90615,-47.35506
8930.,4.137046,3.981748,4.108692,5.907643,36.53213,-30.91415,-47.36259
8940.,4.127792,3.972479,4.099442,5.898356,36.52567,-30.92215,-47.3701
8950.,4.118549,3.963221,4.090203,5.88908,36.51923,-30.93014,-47.37761
