Times,MAIN_PNL_PX.1,MAIN_PNL_MX.1,MAIN_PNL_PY.1,MAIN_PNL_MY.1,MAIN_PNL_PZ.1,MAIN_PNL_MZ.1,MAIN_PNL_MY.20001
1670.,36.13182,16.9834,36.17174,18.33176,17.04761,-16.32449,-37.31015
1680.,36.15898,16.97982,36.19867,18.33042,17.04423,-16.37056,-37.31124
1690.,36.18581,16.97632,36.22526,18.32914,17.04094,-16.41595,-37.31227
1700.,36.21231,16.97292,36.25153,18.32791,17.03773,-16.46067,-37.31326
1710.,36.23849,16.96959,36.27747,18.32675,17.03461,-16.50474,-37.3142
1720.,36.26434,16.96636,36.3031,18.32565,17.03157,-16.54816,-37.3151
1730.,36.28989,16.96321,36.32841,18.3246,17.02862,-16.59093,-37.31594
1740.,36.31512,16.96014,36.35341,18.32361,17.02574,-16.63308,-37.31674
1750.,36.34005,16.95716,36.3781,18.32268,17.02295,-16.6746,-37.3175
1760.,36.36467,16.95425,36.4025,18.3218,17.02023,-16.71551,-37.31821
1770.,36.389,16.95143,36.4266,18.32097,17.0176,-16.75582,-37.31888
1780.,36.41303,16.94868,36.4504,18.3202,17.01504,-16.79554,-37.3195
1790.,36.43677,16.94601,36.47391,18.31948,17.01255,-16.83466,-37.32009
1800.,36.46022,16.94342,36.49714,18.31881,17.01015,-16.87321,-37.32063
1810.,36.4834,16.94091,36.52008,18.3182,17.00781,-16.91118,-37.32113
1820.,36.50629,16.93847,36.54275,18.31763,17.00555,-16.9486,-37.32158
1830.,36.5289,16.9361,36.56514,18.31712,17.00336,-16.98546,-37.322
1840.,36.55125,16.93381,36.58727,18.31665,17.00125,-17.02177,-37.32238
1850.,36.57333,16.93159,36.60912,18.31623,16.9992,-17.05755,-37.32271
1860.,36.59514,16.92943,36.63071,18.31586,16.99722,-17.0928,-37.32301
1870.,36.61669,16.92735,36.65204,18.31554,16.99531,-17.12752,-37.32327
1880.,36.63798,16.92534,36.67312,18.31527,16.99347,-17.16172,-37.32349
1890.,36.65902,16.9234,36.69394,18.31504,16.99169,-17.19542,-37.32368
1900.,36.67981,16.92152,36.71451,18.31485,16.98998,-17.22862,-37.32383
1910.,36.70035,16.91971,36.73484,18.31472,16.98834,-17.26132,-37.32394
1920.,36.72065,16.91796,36.75492,18.31462,16.98676,-17.29353,-37.32402
1930.,36.7407,16.91628,36.77476,18.31457,16.98524,-17.32527,-37.32406
1940.,36.76052,16.91466,36.79437,18.31456,16.98378,-17.35653,-37.32406
1950.,36.7801,16.91311,36.81374,18.3146,16.98239,-17.38732,-37.32404
1960.,36.79945,16.91162,36.83289,18.31467,16.98105,-17.41765,-37.32398
1970.,36.81858,16.91018,36.8518,18.31479,16.97977,-17.44753,-37.32388
1980.,36.83748,16.90881,36.87049,18.31495,16.97856,-17.47696,-37.32375
1990.,36.85615,16.9075,36.88896,18.31515,16.9774,-17.50595,-37.32359
2000.,36.87461,16.90624,36.90721,18.31538,16.9763,-17.53451,-37.3234
2010.,36.89285,16.90505,36.92525,18.31566,16.97525,-17.56264,-37.32318
2020.,36.91087,16.90391,36.94307,18.31597,16.97426,-17.59034,-37.32292
2030.,36.92869,16.90282,36.96069,18.31633,16.97332,-17.61763,-37.32264
2040.,36.9463,16.9018,36.97809,18.31672,16.97244,-17.64451,-37.32232
2050.,36.9637,16.90082,36.9953,18.31714,16.97162,-17.67098,-37.32198
2060.,36.9809,16.8999,37.0123,18.31761,16.97084,-17.69705,-37.3216
2070.,36.9979,16.89904,37.0291,18.3181,16.97012,-17.72273,-37.3212
2080.,37.0147,16.89822,37.04571,18.31864,16.96944,-17.74802,-37.32077
2090.,37.03131,16.89746,37.06213,18.31921,16.96882,-17.77293,-37.32031
2100.,37.04772,16.89675,37.07835,18.31981,16.96825,-17.79746,-37.31982
2110.,37.06395,16.89609,37.09438,18.32045,16.96772,-17.82162,-37.31931
2120.,37.07999,16.89547,37.11023,18.32111,16.96725,-17.84541,-37.31876
2130.,37.09584,16.89491,37.1259,18.32182,16.96682,-17.86884,-37.3182
2140.,37.11152,16.89439,37.14138,18.32255,16.96643,-17.89191,-37.3176
2150.,37.12701,16.89393,37.15669,18.32332,16.9661,-17.91464,-37.31698
